SeqId,InstNo,FromStatus,ToStatus,Discussion,Dtype,SRL,Intervention,Video,Week
4915228,0,F_NoOne,F_NoOne,NoDiscussion,None,"SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis","Interventions.StatusWall.Main,Interventions.Suggestions.People,Interventions.Suggestions.People,Interventions.Suggestions.People","Week 2: Starting With Data > Video: Tony Hirst Hangout Archive,Week 1: Introduction to Learning Analytics (LA) > Video: Welcome to Week 1 Hangout Archive,Week 2: Starting With Data > Starting With Data,Week 1: Introduction to Learning Analytics (LA) > Video: Archive of ProSolo & Assessment in DALMOOC,Week 1: Introduction to Learning Analytics (LA) > Introduction to Learning Analytics","1,2"
4915229,0,F_NoOne,F_NoOne,NoDiscussion,None,None,None,"Week 2: Starting With Data > Starting With Data,Week 1: Introduction to Learning Analytics (LA) > Introduction to Learning Analytics,Course Orientation > DALMOOC Course Basics,Course Orientation > Orientation Hangouts,Week 1: Introduction to Learning Analytics (LA) > Video: Archive of ProSolo & Assessment in DALMOOC","1,2"
4915229,1,F_NoOne,F_NoOne,NoDiscussion,None,"SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Engagement.ApplyingStrategyChanges,SRL.Engagement.ApplyingStrategyChanges,SRL.Engagement.ApplyingStrategyChanges,SRL.Planning.GoalSetting",None,"Week 2: Starting With Data > Video: Week 2 Hangout Archive,Week 1: Introduction to Learning Analytics (LA) > Introduction to Learning Analytics","1,2"
4915229,2,F_NoOne,F_NoOne,NoDiscussion,None,None,None,"Week 2: Starting With Data > Video: Jason Schumacher Hangout Archive,Week 2: Starting With Data > Starting With Data,Week 2: Starting With Data > Video: Tony Hirst Hangout Archive",2
4915229,3,F_NoOne,F_NoOne,NoDiscussion,None,None,None,"Week 3: Basics of Social Network Analysis > Define Social Network Analysis and Its Main Analysis Methods,Week 3: Basics of Social Network Analysis > Video: Week 3 Hangout Archive,Week 2: Starting With Data > Video: Jason Schumacher Hangout Archive,Week 2: Starting With Data > Video: Week 2 Hangout Archive,Week 3: Basics of Social Network Analysis > Peform Social Network Analysis and Visualize Analysis Results in Gephi,Week 3: Basics of Social Network Analysis > Video: Shane Dawson Hangout Archive","3,2"
4915229,5,F_NoOne,F_NoOne,NoDiscussion,None,None,None,"Week 4: Sensemaking of Social Network Analysis for Learning > Social Network Analysis for the Study of Learning,Week 4: Sensemaking of Social Network Analysis for Learning > Video: Results of Analytics of the Data Collected in the First Three Weeks of DALMOOC Hangout Archive,Week 4: Sensemaking of Social Network Analysis for Learning > Video: Week 4 Hangout Archive",4
4915229,7,F_NoOne,F_NoOne,NoDiscussion,None,None,None,"Week 5: Prediction Modeling > Classification,Week 5: Prediction Modeling > Regressors and Classifiers current section",5
4915222,0,F_NoOne,F_NoOne,NoDiscussion,None,None,None,"Week 1: Introduction to Learning Analytics (LA) > Video: Archive of ProSolo & Assessment in DALMOOC,Week 1: Introduction to Learning Analytics (LA) > Video: Welcome to Week 1 Hangout Archive,Course Orientation > DALMOOC Course Basics,Course Orientation > Orientation Hangouts,Week 1: Introduction to Learning Analytics (LA) > Introduction to Learning Analytics",1
4915222,1,F_NoOne,F_NoOne,NoDiscussion,None,"SRL.Planning.TaskAnalysis,SRL.Engagement.ApplyingStrategyChanges,SRL.Planning.GoalSetting,SRL.Planning.TaskAnalysis,SRL.EvaluationReflection.Reflection,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.Engagement.WorkingOnTheTask,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.Engagement.ApplyingStrategyChanges,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.Engagement.WorkingOnTheTask,SRL.EvaluationReflection.Evaluation,SRL.EvaluationReflection.Evaluation,SRL.Planning.TaskAnalysis,SRL.Planning.TaskAnalysis",None,"Week 2: Starting With Data > Starting With Data,Week 2: Starting With Data > Video: Jason Schumacher Hangout Archive,Week 1: Introduction to Learning Analytics (LA) > Video: Welcome to Week 1 Hangout Archive,Week 2: Starting With Data > Video: Week 2 Hangout Archive,Week 1: Introduction to Learning Analytics (LA) > Introduction to Learning Analytics,Week 2: Starting With Data > Video: Tony Hirst Hangout Archive,Week 1: Introduction to Learning Analytics (LA) > Video: Archive of ProSolo & Assessment in DALMOOC","1,2"
4915222,2,F_NoOne,F_NoOne,NoDiscussion,None,None,None,"Week 3: Basics of Social Network Analysis > Bonus Videos: Voices From the Field,Week 3: Basics of Social Network Analysis > Peform Social Network Analysis and Visualize Analysis Results in Gephi,Week 3: Basics of Social Network Analysis > Define Social Network Analysis and Its Main Analysis Methods,Week 4: Sensemaking of Social Network Analysis for Learning > Social Network Analysis for the Study of Learning,Week 2: Starting With Data > Video: Tony Hirst Hangout Archive","3,2,4"
